typenum,R通道一阶矩,G通道一阶矩,B通道一阶矩,R通道二阶矩,G通道二阶矩,B通道二阶矩,R通道三阶矩,G通道三阶矩,B通道三阶矩
4,30.9586,175.6536,124.9156,0.535617438103,4.96314487397,1.4550177456,-0.227004611471,-2.29760439684,-0.673098430884
4,31.8749,143.3534,122.6481,1.38587517115,2.40659685864,1.72367815731,-1.06387399414,-1.30387521494,0.665265377553
4,26.8323,165.7764,95.5375,1.0749775393,5.34804665649,2.99679724873,-0.831943518044,3.3966557266,-1.11363659457
4,32.9219,151.1319,108.9217,0.796743616228,4.7996356518,1.461290221,-0.608481296932,3.10201261119,-0.538805943447
4,34.2205,144.3896,121.5871,1.014041296,5.7865371199,2.26155114689,0.565219253669,4.09191247878,0.744321976769
4,32.8381,155.0993,135.2511,0.68577575781,4.78688202382,2.79006250647,-0.748552627469,3.11788375912,1.85762545945
4,30.5824,179.8541,127.787,1.03595860921,24.6237570892,7.60208070202,1.1626314992,-24.3144017606,7.28024505453
4,34.0658,148.2305,120.5046,0.740857854112,6.65637812553,1.45525902849,0.498620330692,-2.53868847003,-1.01761310563
4,33.0026,163.129,122.204,0.499192588086,3.92376846921,1.39520034404,-0.50045788036,-1.80424746135,0.655922928681
4,34.4204,155.346,118.5451,0.706869040205,5.30826563013,1.29990999304,0.706018903511,4.16460316764,-0.407648791659
4,29.0454,173.0162,127.2512,0.546204027814,5.00718858842,1.39882041735,0.533999262774,2.36459005557,0.97749076365
4,31.6784,165.4682,123.897,1.00993734459,4.30738769558,1.47992939021,0.706425435551,3.47389543142,0.560261087863
4,29.1263,175.3022,127.7361,0.504131242833,4.38580382142,1.33426263906,0.558692214949,-3.09623194021,0.87481983502
4,28.8526,177.1158,132.0197,0.625997795523,5.08827970536,1.68881967954,-0.332955179928,-3.43763673786,0.759397341225
4,32.6407,123.7283,123.9924,6.86696465041,34.8005097536,13.2192337993,13.3423739043,-46.7290360477,16.1961000851
4,30.6064,110.6994,128.1121,1.95076370686,34.7207350101,13.7466771836,2.01688099351,-36.8959634514,9.47597437442
4,30.2751,146.2886,126.9532,0.619854813646,7.54017970873,4.11747613958,0.806808388508,-5.37391280397,4.02062656409
4,31.4879,171.2417,127.6773,0.790603307608,5.24719745293,1.50770179744,0.825856455854,-3.20158310205,0.991581058272
4,27.9111,159.1909,156.7179,0.747125685544,14.1431770543,3.59075473821,-0.297483847205,-12.6887442941,1.51317800082
4,26.7554,184.8214,153.3746,0.597637716347,4.16231931019,2.93016635023,0.327499232531,2.39666083598,-2.14530230489
4,30.2732,90.521,122.8358,1.71917473225,13.3085521001,4.57132785523,1.16141879862,-11.4938794538,4.0239131759
4,30.4693,101.712,118.2033,1.63910265389,10.9248549647,2.54294496795,1.39347217634,-10.0907027803,-1.12046087276
4,27.6582,115.94,125.6478,0.636531821671,5.46885728466,2.01210217434,-0.402493386235,3.81732458884,-1.06525221246
4,29.1406,139.8757,108.023,0.871568494153,7.01713969577,1.48225200287,0.983119292766,4.07571023115,1.04439643236
