0,"('A', 5, 237.08855)"
1,"('A', 12, 235.00004999999999)"
2,"('B', 3, 298.46105)"
3,"('B', 10, 303.2568)"
4,"('B', 19, 416.87950000000001)"
5,"('B', 20, 416.87950000000001)"
6,"('C', 4, 500.49059999999997)"
7,"('C', 7, 475.79189999999994)"
8,"('C', 10, 573.95484999999996)"
9,"('C', 16, 622.64145000000008)"
