0,"('A', 5, 237.15118134801764)"
1,"('A', 12, 235.31495131668635)"
2,"('B', 3, 203.46211607140157)"
3,"('B', 10, 237.34807229880244)"
4,"('B', 19, 420.74860000050103)"
5,"('B', 20, 408.96319998912077)"
6,"('C', 4, 493.35259126985437)"
7,"('C', 7, 493.34238180543434)"
8,"('C', 10, 609.19356439419789)"
9,"('C', 16, 618.19719822891057)"
