typenum,R通道一阶矩,G通道一阶矩,B通道一阶矩,R通道二阶矩,G通道二阶矩,B通道二阶矩,R通道三阶矩,G通道三阶矩,B通道三阶矩
2,37.5851,84.551,140.0592,0.924314876003,3.32364242962,1.51244681229,-0.995061952456,3.90822912204,-0.491408760871
2,27.6632,65.5874,147.888,1.45607889896,2.60809532801,2.38685064468,1.43884747929,-2.23821953441,-1.89890835315
2,28.6583,114.5536,133.1211,0.770675748937,5.93650798366,2.7042993159,0.597625377842,3.72384915832,2.08670557219
2,25.3803,136.1447,139.7464,0.707157627407,3.04640146895,1.60707406177,-0.608070680071,-0.950312608757,1.13367432839
2,35.5139,65.3092,129.7536,1.17974861305,13.8184512649,8.38834232969,1.07544318377,-5.50873549145,3.60476325895
2,34.3866,70.6445,126.4128,1.39166822196,10.0848063814,5.74814719366,-1.03421985387,7.06847638293,4.30010888439
2,28.4243,56.6646,133.7951,1.81815002406,4.89261758571,4.56336673849,-1.39351999461,-2.54633327529,-2.00081553718
2,27.5413,128.664,126.231,0.596568780611,5.81430167776,1.77494760486,-0.38673306514,3.61298515087,-0.428686487488
2,33.7988,95.7933,143.9622,0.811861170398,3.1947730921,1.10116808889,-0.796658547937,1.99183575628,-0.554226849002
2,32.304,115.3261,150.4032,0.779989743522,3.23974671695,1.30277770936,-0.871949945223,-1.38656785748,-0.780966060543
2,33.9924,96.5947,145.9161,0.680839364314,3.19143101288,1.13853449223,-0.665415195107,-1.35377974386,0.27571463961
2,36.4428,96.6647,135.982,0.873343094093,4.32003170243,1.92952740328,0.993953952819,-3.97447960374,0.644932537863
2,37.0764,102.3626,138.188,0.527032295026,2.87974325939,1.62722340199,0.3972536189,-2.67068954604,0.548662916289
2,33.8028,90.3579,141.5644,0.894378085599,3.36484882127,1.29639987658,-1.03412344093,-3.87273551635,0.368233163831
2,38.0346,74.3023,144.8339,0.884422319935,2.27304085093,1.20354093823,0.741058822396,2.2087106896,0.533300273551
2,34.0772,88.6389,137.917,0.893107026061,4.70237246398,2.63087646992,-0.469048263747,0.93387252307,1.55096409338
2,36.1167,86.0717,134.29,0.818951225654,4.50519246093,1.53580597733,0.786063426244,4.00484202204,1.21475803409
2,28.754,119.0744,148.0643,0.744502518465,4.35603772252,1.39418991174,0.598094443386,3.11111355242,-0.964242728611
2,30.9074,103.5633,146.6089,1.41986803612,3.87414417775,7.65195012987,0.279547886219,1.7280985906,5.81474433128
2,29.0412,116.4094,177.1209,0.327875830155,2.02573237127,3.41471568216,0.30308936958,1.93134968593,-1.971894549
2,28.168,128.8672,173.8241,0.400719353164,2.22282796455,4.65681856958,0.480774305822,-1.10202871872,-2.55526921958
2,27.9336,115.097,163.7619,0.781019231517,2.94597878472,2.87256129439,0.49352035119,1.43780645097,1.95116057543
2,38.708,80.5795,140.8007,0.77764773516,2.74099977198,1.67062249177,0.630502516675,1.93996625687,0.975099421879
2,33.0262,122.8051,143.6275,0.299855898725,3.50038769139,1.06138765303,-0.288790805551,-1.14855133446,0.536589552991
2,33.0237,118.3551,142.2706,0.650337074139,3.64979506137,1.40149050657,0.403338258625,1.36649319908,-0.510360243195
2,33.1058,127.4293,143.0013,0.468408326143,3.7885883268,1.22796510944,-0.287742543257,1.47735387498,0.556581205626
2,34.337,101.4981,140.9217,0.823304925286,3.13627109638,1.10687357453,-0.315349051219,-1.70438414805,0.278376113185
2,33.128,112.3662,145.6229,0.506375354851,3.25141470133,1.19895604173,-0.250722687544,1.54030363764,-0.186010598135
2,33.3292,111.3201,145.847,0.502819410922,3.91086128493,1.09708295037,0.358904659821,-2.68716956656,0.411006541415
2,31.518,103.7994,141.9595,1.52606552939,3.12278075439,3.61312326803,-1.40960489508,-1.90039870049,2.86226610583
2,30.838,105.9368,136.27,1.47069915346,2.62530107988,1.21140414396,-1.16612491956,-2.54948780444,1.09146060119
2,25.502,113.722,143.4901,0.781534388239,2.98199865862,1.61774595966,0.560020424425,2.70997120088,-0.941417094744
2,25.502,113.722,143.4901,0.781534388239,2.98199865862,1.61774595966,0.560020424425,2.70997120088,-0.941417094744
2,35.7756,97.8755,145.9292,0.793501505985,2.67117946795,1.51373292228,-0.62077555181,0.587739012693,0.322190601813
2,29.6286,122.523,139.2924,0.714606213239,5.56748336324,3.1746026901,-0.743614045135,-5.38946214546,3.39642904117
2,29.8036,125.698,137.5229,0.581916695069,2.67865563296,1.72831582473,-0.741021974059,-1.73707802361,1.4504241166
2,25.287,116.432,150.8562,0.622278876389,3.92165475278,2.55896884702,-0.159343586735,2.54317060895,-0.853563136999
2,25.6308,106.0573,145.5208,0.77168086668,4.22795656435,2.94369960424,0.648629364456,2.88160747112,1.85392127378
2,31.2076,62.8997,142.1976,1.17868665896,3.61823712739,1.74377585716,-1.17140856727,2.31217136061,1.18026170686
2,34.9728,112.2149,134.1199,0.82768361105,3.11710089506,1.5251635945,0.524052449813,-2.12680195737,-0.532425671246
2,37.8152,86.1708,138.2398,1.06857332926,5.18202927047,1.68940698471,0.426812879958,3.86935263124,-0.732250577625
2,27.8905,115.2733,137.6615,0.755718036043,3.19145846127,1.68550222486,0.535107248712,2.79077196487,-1.22426571199
2,27.0397,111.9059,137.5989,0.829291209407,2.91291008958,1.49780465682,-0.648929590071,-2.02454247695,-0.940332128246
2,28.1344,160.8293,135.686,0.638385964758,24.343487045,5.44984440145,0.779726789679,-30.5735525966,6.64478507626
