0,"('A', 5, 227.97718197331577)"
1,"('A', 12, 237.58023935829542)"
2,"('B', 3, 969.78391168067287)"
3,"('B', 10, 194.83076304210508)"
4,"('B', 19, 6553214.130850032)"
5,"('B', 20, 50150578.655558825)"
6,"('C', 4, 494.22872791561548)"
7,"('C', 7, 486.68478798271082)"
8,"('C', 10, 611.33674198392237)"
9,"('C', 16, 655.49360854653901)"
